row_id,invoice_type,invoice_date,customer_code,customer_name,order_code,account_detail,subtotal,tax,total_amount
1.0,فاکتور فروش,1403/01/15,09/083,سازه پویش,سازه پویش - 28939,402J/01013,590632090.4,59063209.0,649695299.4
2.0,فاکتور فروش,1403/01/20,09/083,سازه پویش,سازه پویش - 28939,402J/01013,457742182.8,45774218.3,503516401.1
3.0,فاکتور فروش,1403/01/26,09/083,سازه پویش,سازه پویش - 28939,402J/01013,197973768.0,19797376.8,217771144.8
4.0,فاکتور فروش,1403/01/28,09/083,سازه پویش,سازه پویش - 28939,402J/01013,398780734.6,39878073.5,438658808.1
5.0,فاکتور فروش,1403/01/29,09/164,باسط پژوه تهران,باسط پژوه  - 28751,402J/01043,90186800.0,9018680.0,100107348.0
6.0,فاکتور فروش,1403/01/29,09/552,نیکو الکترونیک پیشرو,نیکو الکترونیک پیشرو - 28969,N10068,887400000.0,88740000.0,976140000.0
7.0,فاکتور فروش,1403/01/29,09/164,باسط پژوه تهران,باسط پژوه  - 28747,402J/01043,149689050.0,14968905.0,166154845.5
8.0,فاکتور فروش,1403/01/30,09/588,صنعت سازه سیم پویش,صنعت سازه سیم پویش - 810,402J/01082,3000000.0,300000.0,3300000.0
9.0,فاکتور فروش,1403/01/30,09/083,سازه پویش,سازه پویش - 28990,402J/01083,133402500.0,13340250.0,146742750.0
10.0,فاکتور فروش,1403/01/30,09/588,صنعت سازه سیم پویش,صنعت سازه سیم پویش - 28988,402J/01082,3780655.0,378065.5,4158720.5
11.0,فاکتور فروش,1403/01/31,09/083,سازه پویش,سازه پویش - 28990,402J/01083,119022750.0,11902275.0,130925025.0
12.0,فاکتور فروش,1403/02/02,09/566,آنیک الکترونیک کویر یزد,آنیک الکترونیک کویر یزد - ‏_x001F_28937,10883,286617921.7,28661792.2,315279713.9
13.0,فاکتور فروش,1403/02/03,09/094,شیوا امواج,شیوا امواج - ‏_x001F_28864,402J/01048,278965300.0,27896530.0,306861830.0
14.0,فاکتور فروش,1403/02/03,09/094,شیوا امواج,شیوا امواج - ‏_x001F_28869,402J/01048,518449000.0,51844900.0,570293900.0
15.0,فاکتور فروش,1403/02/03,09/094,شیوا امواج,شیوا امواج - 28862,402J/01048,34464085.8,3446408.6,37910494.4
16.0,فاکتور فروش,1403/02/03,09/094,شیوا امواج,شیوا امواج - ‏_x001F_28871,402J/01048,85091028.5,8509102.8,93600131.3
17.0,فاکتور فروش,1403/02/03,09/094,شیوا امواج,شیوا امواج - ‏_x001F_28886,402J/01048,299565000.0,29956500.0,329521500.0
18.0,فاکتور فروش,1403/02/03,09/094,شیوا امواج,شیوا امواج - 28901,402J/01048,364415410.2,36441541.0,400856951.2
19.0,فاکتور فروش,1403/02/05,09/460,مهندسی مرصوص کام,مرصوص کام - ‏_x001F_28963,402J/01074,26951100.0,2695110.0,30686210.0
20.0,فاکتور فروش,1403/02/05,09/083,سازه پویش,سازه پویش - ‏_x001F_28994,402J/01083,45551520.0,4555152.0,50106672.0
21.0,فاکتور فروش,1403/02/06,09/083,سازه پویش,سازه پویش - ‏_x001F_28994,402J/01083,45551520.0,4555152.0,50106672.0
22.0,فاکتور فروش,1403/02/06,09/089,مهندسی مهاران,مهندسی مهاران - ‏_x001F_28821,402J/01050,91443624.8,9144362.5,100587987.3
23.0,فاکتور فروش,1403/02/06,09/089,مهندسی مهاران,مهندسی مهاران - ‏_x001F_28826,402J/01050,209118507.8,20911850.8,230030358.6
24.0,فاکتور فروش,1403/02/07,09/083,سازه پویش,سازه پویش - ‏_x001F_28994,402J/01083,45551520.0,4555152.0,50106672.0
25.0,فاکتور فروش,1403/02/08,09/083,سازه پویش,سازه پویش - 28990,402J/01083,487528984.4,48752898.5,536281882.9
26.0,فاکتور فروش,1403/02/09,09/083,سازه پویش,سازه پویش - ‏_x001F_28994,402J/01083,129911040.0,12991104.0,142902144.0
27.0,فاکتور فروش,1403/02/10,09/566,آنیک الکترونیک کویر یزد,آنیک الکترونیک کویر یزد - 28914,10883,3340458.0,334045.8,3674503.8
28.0,فاکتور فروش,1403/02/11,09/083,سازه پویش,سازه پویش - ‏_x001F_28994,402J/01083,133314115.2,13331411.5,146645526.7
29.0,فاکتور فروش,1403/02/11,09/083,سازه پویش,سازه پویش - 28983,402J/01083,13935290.0,1393529.0,15328819.0
30.0,فاکتور فروش,1403/02/13,09/083,سازه پویش,سازه پویش - 28983,402J/01083,26616403.9,2661640.4,29278044.3
31.0,فاکتور فروش,1403/02/16,09/243,تابا الکترونیک,تابا الکترونیک  - 28972,402J/01077,363591103.2,36359110.3,403586124.5
32.0,فاکتور فروش,1403/02/16,09/243,تابا الکترونیک,تابا الکترونیک  - ‏_x001F_28974,402J/01077,354737334.0,35473733.4,393758440.7
33.0,فاکتور فروش,1403/02/16,09/113,کاوندیش سیستم,کاوندیش سیستم - ‏_x001F_28980,402J/01078,28087261.0,2808726.1,30895987.1
34.0,فاکتور فروش,1403/02/16,09/083,سازه پویش,سازه پویش - ‏_x001F_28994,402J/01083,45551520.0,4555152.0,50106672.0
35.0,فاکتور فروش,1403/02/16,09/243,تابا الکترونیک,تابا الکترونیک  - ‏_x001F_28976,402J/01077,605681880.0,60568188.0,672306886.8
