row_id,performa_type,performa_date,series,sale_type,order_code,account_detail,customer_code,customer_name,status,amount,description
1.0,پیش‌فاکتور,1404/01/18,1.0,pcb,29455.0,404J/01193,09/566,آنیک الکترونیک کویر یزد,مختومه,250223901.5,60 الی 75 روز پس از پرداخت
2.0,پیش‌فاکتور,1404/01/18,1.0,pcb,29456.0,404J/01193,09/566,آنیک الکترونیک کویر یزد,مختومه,373382130.0,60 الی 75 روز پس از پرداخت
3.0,پیش‌فاکتور,1404/01/18,1.0,pcb,29457.0,404J/01193,09/566,آنیک الکترونیک کویر یزد,مختومه,148867299.2,60 الی 75 روز پس از پرداخت
4.0,پیش‌فاکتور,1404/01/18,1.0,pcb,29458.0,404J/01193,09/566,آنیک الکترونیک کویر یزد,مختومه,239718875.0,60 الی 75 روز پس از پرداخت
5.0,پیش‌فاکتور,1404/01/18,1.0,pcb,29459.0,404J/01193,09/566,آنیک الکترونیک کویر یزد,مختومه,266866820.0,60 الی 75 روز پس از پرداخت
6.0,پیش‌فاکتور,1404/01/18,1.0,pcb,29460.0,404J/01193,09/566,آنیک الکترونیک کویر یزد,مختومه,58157847.0,60 الی 75 روز پس از پرداخت
7.0,پیش‌فاکتور,1404/01/31,1.0,pcb,832.0,403J/01192,09/083,سازه پویش,جاری,5550000.0,25 الی 30 روز پس از تایید و پرداخت
8.0,پیش‌فاکتور,1404/01/31,1.0,pcb,29461.0,404J/01194,09/083,سازه پویش,جاری,14928743.2,25 الی 30 روز پس از تایید و پرداخت
9.0,پیش‌فاکتور,1404/02/03,1.0,pcb,29462.0,404J/01196,09/489,الکترونیک کاران,جاری,552202245.0,90 الی 105 روز
10.0,پیش‌فاکتور,1404/02/06,1.0,pcb,29463.0,404J/01195,09/083,سازه پویش,جاری,93279738.0,60 الی 75 روز پس از تایید و پرداخت
11.0,پیش‌فاکتور,1404/02/13,1.0,pcb,29464.0,404J/01198,09/083,سازه پویش,جاری,1518550880.0,60 الی 75 روز پس از تایید و پرداخت
12.0,پیش‌فاکتور,1404/02/13,1.0,pcb,29465.0,404J/01198,09/083,سازه پویش,جاری,1294742350.0,90 الی 105 روز پس از تایید و پرداخت
13.0,پیش‌فاکتور,1404/02/14,1.0,pcb,29466.0,404J/01199,09/489,الکترونیک کاران,جاری,331821180.0,90 الی 105 روز
14.0,پیش‌فاکتور,1404/02/16,1.0,pcb,29467.0,404J/01200,09/090,نیان الکترونیک,مختومه,20774545.0,60 الی 75 روز
15.0,پیش‌فاکتور,1404/02/16,1.0,pcb,29468.0,404J/01200,09/090,نیان الکترونیک,مختومه,146674770.0,60 الی 75 روز
16.0,پیش‌فاکتور,1404/02/16,1.0,pcb,29469.0,404J/01200,09/090,نیان الکترونیک,مختومه,702998032.0,60 الی 75 روز
17.0,پیش‌فاکتور,1404/02/16,1.0,pcb,29470.0,404J/01200,09/090,نیان الکترونیک,مختومه,39723178.0,60 الی 75 روز
18.0,پیش‌فاکتور,1404/02/16,1.0,pcb,29471.0,404J/01200,09/090,نیان الکترونیک,مختومه,33126390.0,60 الی 75 روز
19.0,پیش‌فاکتور,1404/02/16,1.0,pcb,29472.0,404J/01200,09/090,نیان الکترونیک,مختومه,16146394.0,60 الی 75 روز
20.0,پیش‌فاکتور,1404/02/16,1.0,pcb,29473.0,404J/01201,09/090,نیان الکترونیک,مختومه,164223488.0,60 الی 75 روز
21.0,پیش‌فاکتور,1404/02/16,1.0,pcb,29474.0,404J/01201,09/090,نیان الکترونیک,مختومه,335608724.0,60 الی 75 روز
